Time_number,Date,Agric,Food ,FabPr,Mach ,ElcEq,Autos,Guns ,Gold ,Mines,Coal 
129,06/01/1964,0.010841023,0.002895803,0.012620031,0.003693172,-0.002202424,-0.006420568,-0.003104815,-0.011162065,0.007571265,0.018625464
130,07/01/1964,0.019508466,-0.000700245,0.02810143,0.002297359,-0.00060018,0.010346292,-0.007427516,0.000899595,0.001798382,-0.001601281
131,08/01/1964,0.013311014,-0.002202424,0.002397125,-0.000300045,-0.005113049,0.007769737,-0.008435479,-0.002002003,-0.008637193,-0.00080032
132,09/01/1964,-0.01440323,-0.000100005,-0.011263192,0.002796087,-0.003506139,-0.008334637,-0.0010005,-0.001901807,-0.006420568,-0.008334637
133,10/01/1964,-0.013693327,0.000899595,-0.011060947,0.00059982,-0.008939842,-0.007629027,-0.01440323,0.001399021,-0.005716307,0.004191205
134,13/01/1964,-0.00250313,-0.000300045,0.002596626,0.002397125,0.002297359,0.005683816,-0.020917248,0.00796817,0.001199281,0.018429135
135,14/01/1964,-0.001601281,-0.002803927,-0.002102208,0.00059982,-0.004108428,0,0.005286004,-0.001300846,-0.003205131,0.014790085
136,15/01/1964,0.003493889,-0.001400981,0.001598721,0.002995509,-0.002002003,-0.004811557,0.001498876,0.006876304,0.008662373,-0.004409708
137,16/01/1964,-0.003305457,0.001099395,-0.004409708,0.001898197,-0.000700245,-0.00250313,-0.001801622,-0.001801622,0.005783245,-0.001901807
138,17/01/1964,-0.00040008,-0.001801622,-0.008838949,-0.002302649,0.0009995,-0.007830579,-0.016231013,0.001598721,-0.009646377,-0.001801622
139,20/01/1964,-0.002703652,0.004888034,0.003992021,-0.00060018,-0.002002003,0.001299156,0.004688989,-0.000100005,-0.003305457,-0.003405793
140,21/01/1964,-0.00080032,0.001598721,0.008959741,0.004191205,0.009851316,0.002895803,0.01607018,9.9995E-05,0.002397125,0.007868958
141,22/01/1964,-0.004912044,0.003493889,-0.0010005,0.005087039,-0.002603386,-0.00060018,-0.012781334,-0.004309272,0.003892415,0.008662373
142,23/01/1964,0.020194707,-0.002302649,0.008761506,0.001898197,-0.005213567,0.010544214,0.02810143,-0.00020002,0.003992021,0.000699755
143,24/01/1964,-0.00080032,0.00039992,-0.022961612,-0.00060018,-0.007326775,-0.003606496,-0.010050336,-0.006018072,-0.001100605,0.003992021
144,27/01/1964,-0.015519812,0.001299156,-0.001400981,-0.000300045,-0.00060018,-0.000100005,-0.004811557,0.00079968,0.005186527,-0.006521217
145,28/01/1964,-0.001100605,-0.005716307,0.001199281,-0.003405793,0.004888034,-0.003004509,0.00039992,-0.000300045,-0.011465478,-0.008233805
146,29/01/1964,-0.014809116,0.003892415,0.023618866,-0.002603386,-0.004912044,0.002696362,-0.006018072,-0.001601281,-0.004309272,-0.002102208
147,30/01/1964,0.009950331,-0.001200721,0.013409687,0.003095205,-0.003004509,0.008563231,-0.000700245,-0.001300846,0.001099395,-0.000500125
148,31/01/1964,0.018232768,0.003493889,0.002696362,-0.005615739,0.007868958,-0.005615739,0.01133551,-0.007729798,-0.004811557,0.001199281
149,03/02/1964,-0.006319929,0.001199281,-0.004008021,0.00019998,0.002895803,0.0009995,0.002197584,0.006478966,-0.005917474,-0.008233805
150,04/02/1964,0.000499875,9.9995E-05,-0.001701447,0.00079968,0.002895803,-0.000100005,-0.009242581,-0.010353412,-0.001100605,-0.007326775
151,05/02/1964,-0.002603386,0.003992021,0.005385472,-0.000100005,0.002097798,0.002596626,0.008761506,-0.004912044,0.018821754,0.007769737
152,06/02/1964,0.005683816,0.002596626,-0.008435479,0.002696362,0.009157938,-0.002603386,0.01597177,-0.008838949,0.001798382,-0.003104815
153,07/02/1964,-0.008939842,-0.00250313,-0.002603386,0.00019998,0.008959741,0.001898197,-0.0010005,0.004788517,0.00548493,0.006280238
154,10/02/1964,-0.009242581,0.001199281,0.002297359,0.001299156,0.009950331,0.001798382,-0.003405793,0.005286004,0.005385472,0.016758784
155,11/02/1964,0.018036362,-0.000900405,-0.005615739,0.000899595,0.005982072,0.005584378,0.00608147,-0.0010005,0.01350835,0.006975614
156,12/02/1964,-0.001901807,0.000899595,0.009752291,-0.0010005,-0.004309272,0.000299955,-0.0010005,-0.001400981,0.007769737,0.002097798
157,13/02/1964,0.008364916,0.000299955,0.015774919,0.002197584,-0.0010005,-0.003506139,-0.001901807,0.011434378,0.001199281,-0.016841017
158,14/02/1964,-0.00250313,0.002696362,-0.008838949,-0.001501126,-0.007729798,-0.001701447,9.9995E-05,-0.010555514,0.00079968,-0.005314095
159,17/02/1964,0.003493889,-0.000100005,0.005186527,0.001498876,0.00019998,0.001498876,-0.013794711,0.004888034,-0.002904213,-0.0216323
160,18/02/1964,0.001299156,-0.00040008,0.002696362,0.003792798,0.003394233,0.01093994,0.005882663,0.009157938,0.004290781,0.016365354
161,19/02/1964,-0.009343515,-0.000500125,0.004589452,0.004987542,0.000899595,0.009752291,-0.003004509,-0.002803927,0.016463726,-0.002402885
162,20/02/1964,0.001598721,0.001399021,9.9995E-05,0.004788517,-0.004510155,0.002397125,0.006280238,-0.003807238,0.01064316,0.001099395
163,24/02/1964,-0.008838949,-0.003405793,-0.009242581,0.009257021,0.001498876,-0.002703652,-0.022450129,-0.001300846,0.001698557,-0.000900405
164,25/02/1964,-0.003004509,0.003095205,0.004290781,0.01133551,0.006876304,0.005783245,0.010049336,0.001898197,-0.000300045,0.001998003
165,26/02/1964,-0.011465478,-0.002904213,-0.008435479,0.001199281,0.002297359,-0.002402885,0.003693172,0.011533236,-0.005414633,0.006180859
166,27/02/1964,-0.003004509,0.004987542,0.006379607,-0.000900405,0.0009995,0.006578315,-0.006722546,0.014593002,-0.001701447,0.002696362
167,28/02/1964,-0.005716307,0.00019998,0.001898197,0.001399021,0.01133551,0.005683816,0.010445258,0.011038847,-0.001701447,-0.003506139
168,02/03/1964,-0.001801622,0.001099395,0.000299955,0.002596626,0.001598721,0.009653257,-0.005615739,-0.0062193,-0.005012542,0.008166563
169,03/03/1964,0.004888034,-0.001400981,0.010049336,0.000299955,-0.002703652,0.003394233,0.00548493,-0.001100605,0.005286004,-0.005515181
170,04/03/1964,-0.002603386,-0.00250313,0.00019998,0.004290781,0.001998003,-0.003205131,-0.002002003,0.006975614,0.002796087,0.005982072
171,05/03/1964,0.001199281,0.005385472,0.02508278,0.009356095,0.010247316,0.005783245,0.00039992,-0.00040008,0.004191205,0.001299156
172,06/03/1964,-0.008838949,0.005882663,0.01212618,0.004390348,0.003493889,0.010148331,-0.003004509,0.012620031,0.00059982,0.00039992
173,09/03/1964,-0.003405793,-0.001501126,0.015676479,0.005186527,0.003892415,0.014198719,-0.015621381,0.0009995,0.004390348,-0.002102208
174,10/03/1964,0.00079968,0.002397125,0.015873349,0.00608147,0.001498876,0.009257021,0.00548493,-0.003305457,-0.006621876,0.001898197
175,11/03/1964,-0.011667805,0.001798382,0.004191205,0.001998003,-0.006420568,-0.003706862,-0.002803927,0.000299955,0.00249688,-0.008435479
176,12/03/1964,-0.006823225,-0.002904213,-0.008132983,-0.001601281,0.008860628,-0.00020002,0.004688989,-0.006823225,0.004788517,0.00079968
177,13/03/1964,0.015676479,-0.00060018,0.006876304,0.005683816,0.006876304,-0.005917474,0.010742097,0.004191205,0.009950331,-0.001400981
178,16/03/1964,-0.002002003,0.004788517,0.001598721,0.003593536,0.009257021,0.001099395,0.001199281,-0.012275031,0.008464078,0.007074914
179,17/03/1964,0.002297359,0.001698557,0.012620031,0.006876304,0.009752291,-0.003706862,-0.00471108,0.006677655,0.008364916,-0.016434306
180,18/03/1964,-0.003606496,0.002995509,0.0009995,0.00039992,-0.002803927,-0.003506139,0.005286004,0.016857117,-0.010151351,0.007670506
181,19/03/1964,-0.007125325,-0.007024615,-0.01959065,-0.001400981,-0.009040745,-0.012983928,-0.004610613,-0.007125325,0.001698557,0.000899595
182,20/03/1964,-0.007125325,-0.001300846,0.007868958,0.002796087,-0.002002003,-0.00471108,-0.014200349,-0.00080032,0.003792798,-0.002703652
183,23/03/1964,-0.017858518,0.000899595,0.012817504,0.000499875,-0.006621876,0.001798382,-0.000700245,0.008860628,-0.000900405,0.005385472
184,24/03/1964,0.021272135,0.001598721,-0.003205131,0.002297359,-0.00020002,0.003892415,0.031498667,0.000299955,0.008761506,-0.001400981
185,25/03/1964,0.007174204,0.001698557,-0.005816885,0.003593536,0.003992021,0.005186527,0.024692613,0.007472015,0.013212331,-0.001701447
186,26/03/1964,0.00059982,0.000299955,0.021272135,9.9995E-05,-0.009747351,-0.011465478,-0.011263192,0.000499875,0.004589452,-0.012477522
